id,label
12832,10
13106,2
11275,7
11377,8
10511,8
12518,9
13767,1
14382,9
11193,6
12798,2
10614,7
13820,9
11017,2
14655,2
13972,3
11794,7
14568,8
11843,9
10012,6
10832,7
13531,7
13926,10
14348,6
10879,9
10543,2
10113,7
14195,2
13092,7
12831,7
13417,5
10013,5
10686,5
11320,2
12090,7
10192,9
11055,1
13117,1
11078,1
13451,9
11358,8
13694,2
11784,4
11550,2
12775,5
13286,3
12036,3
10034,2
14603,2
12115,7
10236,10
14286,7
13400,7
13087,4
12974,9
11403,10
13753,9
14377,7
11908,2
14465,10
13116,6
12383,8
10503,10
14237,1
12182,3
14548,2
11197,10
11531,9
10822,5
14485,9
13537,7
10361,8
10340,1
13452,7
11731,7
13492,6
12343,9
11009,5
13047,5
11521,8
11759,2
14240,4
11356,3
12748,3
13852,7
12866,9
14005,7
12217,8
13815,5
14004,8
11575,8
13505,3
10723,2
11607,1
13634,9
10549,9
10180,4
13345,9
11317,2
10777,2
11810,1
10166,7
13990,9
11414,5
10508,8
12443,9
10887,9
13204,2
12275,7
11654,8
14454,3
12427,4
10294,7
12929,2
13787,10
14410,2
14443,1
12096,5
10489,1
14137,9
12771,7
14621,1
11767,2
10858,7
13418,5
11603,10
12299,3
12005,5
10622,7
12948,8
12038,1
14178,2
14306,6
14371,6
12166,3
12476,7
10505,10
13110,7
12253,9
12242,6
11072,9
10017,6
13747,9
12136,6
13383,6
12637,2
11965,4
13717,5
11953,8
12650,3
13111,5
14238,2
13174,8
10854,8
13660,8
13223,1
12231,7
13635,3
13585,1
13285,7
10435,2
11455,7
12339,2
12010,7
10239,5
14464,1
13707,10
11542,2
12249,8
12304,5
14604,8
11702,9
10354,2
11930,10
11729,3
11407,9
12206,10
10528,9
13159,1
11071,2
13812,8
13380,10
11082,9
11709,8
13460,3
12936,7
10019,8
12360,8
12791,8
12932,8
13489,9
10388,1
10364,10
10554,7
11768,4
12985,9
10651,10
13262,8
13529,2
11693,4
14188,9
10262,8
14257,10
14189,3
11460,2
13734,1
13761,3
13786,5
10221,1
10641,3
13443,2
14618,9
10343,3
14538,6
12410,2
14282,9
11552,4
11289,6
10632,4
12648,10
14299,8
11761,3
10046,3
14468,3
10421,9
13072,1
14314,7
11090,1
12390,10
11691,9
12399,7
10579,4
10434,3
12872,1
12318,6
12870,6
14325,9
13485,8
11816,2
10637,10
14372,4
11882,10
10778,7
14340,9
13940,2
10761,10
12585,6
10037,4
10029,10
11170,6
10618,9
12967,4
10415,9
13438,9
14536,8
12636,7
14031,1
11828,9
10409,5
14064,3
13785,4
13803,8
12613,1
14632,4
14650,9
10552,10
13904,3
12267,8
12677,2
12156,7
10070,1
14105,1
12165,4
13294,3
14560,8
13805,7
13516,10
14360,10
10646,5
14218,6
13769,5
13152,7
13290,9
14181,7
11434,1
12931,9
10999,8
14543,6
13058,6
11699,10
14515,7
10708,1
14148,10
14544,3
11228,8
12758,1
10284,5
12960,9
14374,1
14668,1
11815,8
10843,8
12992,5
10852,2
12347,2
12075,5
13871,8
13267,1
12114,3
13390,6
13482,9
11708,3
11782,7
12757,3
11085,8
11190,1
10389,7
10537,5
13528,2
12541,2
10624,7
11442,10
11380,10
12325,2
11458,8
14029,4
11129,9
11703,2
11806,1
13054,7
13844,1
11463,10
11468,4
10195,8
12806,2
10327,4
12652,10
10965,1
12925,1
13249,1
13081,7
12909,9
10281,1
10732,7
11900,9
13699,7
10120,7
14366,4
12204,7
13423,10
10519,7
13298,8
12257,4
14081,5
10711,4
12647,2
11359,9
12998,10
10450,4
11097,7
13293,6
10548,3
12367,5
13621,10
11180,8
14537,6
11127,7
12067,9
12417,7
12034,2
13289,4
13695,6
12700,1
10785,1
13131,3
13870,2
13911,10
12414,9
13132,1
11027,7
13234,7
11864,7
13338,6
12899,10
14663,8
11327,3
13714,8
11154,10
14622,1
13216,7
12942,7
10749,1
10098,8
13123,2
10086,7
10404,4
13603,3
11529,10
10346,3
13758,8
11398,9
12259,1
13359,9
11883,2
10310,7
11341,2
11075,7
12321,2
11229,2
10337,8
11544,1
11192,2
13012,7
11920,9
11956,3
10276,8
12477,3
10912,9
11887,6
13716,4
13996,1
14063,1
13060,9
14012,1
11776,1
12220,3
10652,6
12644,8
13364,8
10345,9
11860,2
14170,2
11044,4
12412,8
14019,6
10595,7
13274,2
13827,7
13431,7
11111,8
11179,9
11808,3
12770,10
12871,10
13503,3
13266,3
10880,7
10576,7
12868,7
12628,8
11439,1
13949,7
12246,1
14285,4
12763,8
11168,8
12817,8
13337,2
13613,9
10462,8
13304,10
13672,1
14368,10
11354,1
13536,4
12105,7
11910,6
14389,6
10130,3
11803,10
13316,4
13942,9
12655,10
13381,7
12007,7
10106,9
10092,4
10162,1
13589,2
12982,4
13835,1
10994,6
13808,9
11833,5
12274,3
14088,7
13764,4
11493,10
11714,9
13125,9
10231,4
12042,2
13617,9
12091,3
11019,8
10202,5
12094,2
10237,8
12070,10
11796,10
14577,10
12289,3
12064,4
13643,8
11826,9
13120,3
13004,4
14565,5
13323,1
13752,1
14561,6
11332,3
12188,2
12638,8
11581,8
11549,1
14444,10
11773,3
12804,4
11196,7
14594,10
13457,7
10609,8
10909,1
14280,8
12127,9
14437,2
10792,10
12268,4
12862,7
11500,9
14341,1
13465,7
10841,4
10061,4
12076,2
12333,10
10173,7
14259,4
10627,9
11577,2
12439,10
14599,8
13063,1
12834,2
12103,6
10766,4
10487,1
14050,7
12198,1
13128,1
12926,2
12377,2
11396,8
11857,7
13256,9
13958,8
12117,8
11160,7
12426,7
10191,3
11303,3
10936,9
10670,1
10091,3
10802,3
12287,1
11420,10
11983,2
14085,4
13432,2
13794,8
10633,1
13358,1
11969,5
12232,8
13509,4
10107,4
12557,4
11054,10
13199,5
10494,2
11400,1
11725,4
10108,1
12181,9
10338,3
11447,8
11991,6
11986,3
12396,1
11259,3
12201,7
12451,3
13879,4
12878,5
12577,3
14472,9
10582,7
13362,4
13252,9
14505,10
11333,7
13976,5
12903,6
13191,1
12902,10
11240,4
12323,5
12778,8
10226,9
12550,1
14054,4
12516,6
13889,8
11925,1
11198,5
12375,6
14016,4
14361,8
11363,9
11932,1
14326,3
10901,5
10868,10
13541,9
12498,1
11885,4
11330,10
12895,1
11418,4
12499,3
10781,5
10326,6
14581,4
13798,7
13859,3
12494,10
11591,3
10876,9
13241,1
11495,4
13549,6
10075,6
11114,1
10228,3
13419,6
13430,10
14479,5
14231,7
12020,9
13751,2
11238,6
10727,8
12469,9
13038,1
14150,2
14304,2
13127,8
12207,7
14514,4
13035,1
10496,8
14654,8
10412,3
11993,3
14213,2
12807,4
12479,5
14245,5
12605,9
13312,8
14442,10
11157,3
11852,8
10220,9
10115,2
11938,7
12500,1
14626,7
11611,4
10709,4
11704,4
13084,7
11451,1
10759,3
11701,9
10957,1
12750,2
11056,2
11612,3
13907,8
12741,9
10360,2
12045,2
14157,6
13263,8
14020,9
11802,1
13914,4
11417,2
11183,1
10919,3
12720,9
10246,10
11301,3
12506,7
12366,10
11791,7
13467,1
10666,10
11372,1
10249,8
14322,4
11036,3
11182,7
13122,10
10089,1
11562,3
11855,2
13484,10
14653,9
14539,9
10878,3
12996,6
11615,3
11501,10
13555,9
13206,9
14476,7
14364,2
13568,9
10164,9
11877,9
11415,3
14431,7
14160,3
11889,1
14082,9
11700,10
13729,9
13675,9
14335,4
12432,7
12794,8
12190,2
11155,5
12896,7
10188,8
12381,3
10386,9
10570,5
12702,7
11548,7
10393,9
12004,6
11482,3
10931,8
14440,5
11918,5
12699,10
14506,9
14219,8
14287,7
13028,2
12924,4
12306,1
13275,1
13662,5
14427,3
12697,6
12186,9
14232,2
11758,2
13104,7
13039,9
10373,7
13200,1
13834,4
10465,3
13194,1
11939,2
11397,4
11438,3
13712,1
13527,4
10175,10
11923,9
10707,2
13363,9
14197,2
10891,9
11978,10
13749,6
14452,8
13469,7
12657,7
11638,9
12008,7
12950,6
11642,2
13346,7
14532,7
13523,4
11309,4
11479,4
11319,9
12632,9
11202,3
11084,8
13142,1
10144,6
12113,8
13153,7
13960,8
14620,7
11738,9
12445,10
10258,1
11673,2
12145,10
13832,1
11769,1
10512,2
13278,7
12356,3
10518,5
13519,2
10301,10
13939,2
14067,6
10143,2
11878,6
14504,10
13934,7
10395,1
11339,7
11763,3
13587,3
13906,7
12558,6
10492,10
12556,7
11820,4
10531,2
14077,5
11124,9
13998,3
10073,1
13770,5
12043,2
11253,8
13121,7
12661,9
11491,8
12666,4
11402,8
14182,2
13929,7
11684,8
10728,9
13271,1
12483,10
10382,7
12917,1
13077,7
10269,9
11045,1
14609,8
14401,4
10011,4
12119,1
13022,7
12003,7
12283,9
11580,9
11023,1
13176,3
10877,8
11563,7
10244,6
11979,8
13242,6
13393,2
10630,8
10734,10
11262,1
10533,10
11928,10
10050,8
14598,9
13453,4
12564,6
13573,2
11059,8
13397,4
10154,10
14576,2
14294,7
12228,6
12222,8
11903,9
13488,9
14141,10
13624,2
13698,2
14496,8
13504,7
13629,5
12163,9
10859,1
14417,7
10280,9
12744,4
10499,4
12660,7
10420,9
12173,1
11475,6
12607,7
12900,5
12074,8
12505,10
11068,8
12858,3
13281,2
13877,2
10470,1
13748,3
10367,7
13645,4
10945,8
10932,7
11505,8
13181,4
11516,10
11492,4
11814,7
10542,7
12276,9
11013,6
10201,9
10261,1
12151,7
13725,7
10941,10
13089,10
14118,9
10885,10
12523,7
13406,8
10949,3
11771,6
12311,7
11980,10
12566,10
14034,7
13702,9
10039,7
13921,4
12654,10
14200,8
14312,7
14332,7
10126,8
13189,1
11199,1
13530,10
12830,4
11032,8
10385,6
12756,2
13499,8
11681,9
10509,9
12266,3
10324,4
12880,1
13405,4
11963,1
13062,7
14526,7
14611,9
11545,2
10934,7
11867,9
14489,8
10971,9
13938,7
10125,7
13653,7
12363,2
12717,10
10490,7
11632,9
10259,5
14164,1
10970,3
11626,1
12028,1
11578,7
12692,5
10808,1
14651,9
12139,7
12995,4
11750,3
13170,4
11473,8
13971,6
10725,7
10289,1
11697,4
11513,1
10506,2
10460,2
10698,1
13238,1
11675,9
10682,8
13353,7
13026,7
12664,4
10978,4
13428,10
11367,8
13659,5
11856,2
13908,7
13300,2
13902,1
14470,4
14414,10
12372,2
13620,6
11884,9
10132,9
12833,4
12230,8
10204,9
13671,2
10491,9
11723,3
10895,4
12286,3
13954,7
11123,2
14351,4
12808,10
10964,9
11736,7
10530,2
11203,2
13534,5
14524,5
11383,2
12167,4
11989,7
12822,8
12968,4
10760,9
10594,5
11685,2
10288,7
12586,10
12385,10
13848,3
12142,6
10219,3
11249,3
12329,2
11565,7
10493,7
14230,9
10765,10
13554,5
10830,9
10247,8
13746,10
13574,3
10605,10
12464,7
12449,8
11204,7
13076,2
14355,3
10691,7
11781,10
14211,5
10321,7
10453,4
11308,2
13807,2
12634,9
13306,1
14283,3
12888,9
10032,1
14083,10
11104,8
11384,9
10362,10
12975,10
13165,8
11711,4
12765,6
14010,6
10063,9
14347,4
10458,4
11472,2
13167,2
11874,5
12553,8
10557,10
13569,1
13771,7
13421,6
13486,7
12281,10
12125,3
12324,4
12633,7
13434,1
11859,1
10479,2
12011,4
11968,6
12170,8
13260,10
10024,5
12255,5
13441,9
13481,5
10134,6
11366,1
11267,8
13179,8
12678,2
10428,6
11065,1
11770,8
10256,9
12531,4
13292,7
13759,3
10968,8
10771,2
10535,7
11894,10
11280,6
13625,9
11677,9
11944,2
14307,4
11872,10
13762,7
14466,7
12474,7
11236,6
12626,3
10177,7
13540,6
14446,9
11952,10
12608,7
14212,3
11676,6
10072,9
12052,9
10935,5
11115,9
10392,8
12943,3
10095,5
11974,1
14607,3
11519,6
11489,4
11951,3
10071,10
14216,6
12162,7
12018,1
10475,7
10270,2
12736,7
11020,9
11800,3
12308,10
12066,2
10405,6
13865,1
12233,7
14369,8
12835,2
12368,1
13319,10
12764,5
13688,8
10417,3
13733,5
10706,7
10665,1
12792,7
12503,1
13336,8
11689,1
13506,7
11446,1
11321,4
13236,6
10694,10
14180,3
13622,5
11992,10
11512,10
14295,6
10093,4
12461,4
14398,2
14169,3
11244,9
14379,1
11779,7
10299,10
14616,7
11584,7
10807,6
10544,9
14204,9
10905,3
11602,1
10827,4
12471,4
11494,1
14149,1
13680,8
13321,9
12595,8
10440,9
12852,8
10555,4
13899,4
11572,5
10501,8
10898,5
12403,10
12210,9
12774,6
12615,4
12135,9
13890,4
14117,2
12014,2
11490,9
14365,2
11018,5
10793,7
10680,6
10155,7
11254,9
11831,1
14072,6
14666,1
13886,6
14552,1
10606,1
12853,9
10448,1
13612,8
12481,7
14499,3
12485,10
10782,1
13355,7
14407,5
14492,10
10952,3
10744,4
11961,4
12355,9
12898,5
13522,10
10240,1
12535,3
12860,3
10308,2
10655,7
13631,7
11535,7
12089,4
10198,3
10007,2
10002,10
